datetime	o2_epil	o2_hypo	o2_total	vol_epil	vol_hypo	vol_total
1987-06-21T00:00:00Z	2364208808911.2734	653321849079.1765	3017530657990.45	269649893.4949496	231435787.73206145	501085681.227011
1987-06-22T00:00:00Z	2322634362143.5635	642381364635.859	2965015726779.4224	266637763.82950068	234447917.39751035	501085681.227011
1987-06-23T00:00:00Z	2054412537179.58	697300756803.6404	2751713293983.2207	239936224.20299172	261149457.0240193	501085681.227011
1987-06-24T00:00:00Z	2122737158398.465	655139673982.9513	2777876832381.4165	248189081.44921425	252896599.77779678	501085681.227011
1987-06-25T00:00:00Z	2039675385551.204	653582978382.9004	2693258363934.1045	241584452.32114276	259501228.90586826	501085681.227011
1987-06-26T00:00:00Z	2302246411958.065	566349306143.0421	2868595718101.107	268519868.25578344	232565812.9712276	501085681.227011
1987-06-27T00:00:00Z	2663025738987.933	458500458251.4379	3121526197239.371	305397582.57464033	195688098.6523707	501085681.227011
1987-06-28T00:00:00Z	2901784930534.5483	384787941406.8386	3286572871941.3867	330338583.24993527	170747097.97707576	501085681.227011
1987-06-29T00:00:00Z	3033594347217.7466	340727449185.0884	3374321796402.835	344001985.68840986	157083695.53860116	501085681.227011
1987-06-30T00:00:00Z	2886399173197.585	362282207425.1988	3248681380622.7837	328813843.2665641	172271837.96044695	501085681.227011
1987-07-01T00:00:00Z	2841229799018.658	359636711795.949	3200866510814.6074	324385271.4600886	176700409.7669224	501085681.227011
1987-07-02T00:00:00Z	2857748412540.468	343536205451.27295	3201284617991.7407	326429078.236376	174656602.99063504	501085681.227011
1987-07-03T00:00:00Z	2782831386353.898	346703896463.7572	3129535282817.6553	319136049.6370274	181949631.58998364	501085681.227011
1987-07-04T00:00:00Z	2915751775969.947	307887996705.91833	3223639772675.865	333384752.0705517	167700929.15645933	501085681.227011
1987-07-05T00:00:00Z	2718660829175.2	333780542156.1276	3052441371331.3276	313859441.8466436	187226239.3803674	501085681.227011
1987-07-06T00:00:00Z	2764596832072.983	313899153375.0093	3078495985447.992	318920580.3488241	182165100.87818694	501085681.227011
1987-07-07T00:00:00Z	2881945210472.1714	281453025263.81995	3163398235735.991	331650643.4272523	169435037.79975873	501085681.227011
1987-07-08T00:00:00Z	2632132336544.8076	315129259991.82635	2947261596536.634	306010217.13981473	195075464.0871963	501085681.227011
1987-07-09T00:00:00Z	2271207015368.0825	360071230712.115	2631278246080.1973	272348067.984569	228737613.242442	501085681.227011
1987-07-10T00:00:00Z	2336755027126.315	337934278856.06506	2674689305982.38	279449240.8840424	221636440.34296864	501085681.227011
1987-07-11T00:00:00Z	2642653653755.98	277862035117.48175	2920515688873.462	311716551.62689316	189369129.60011786	501085681.227011
1987-07-12T00:00:00Z	2632793359041.6978	269482535245.3998	2902275894287.0977	311339624.05105543	189746057.1759556	501085681.227011
1987-07-13T00:00:00Z	2630952549163.403	259926872614.52383	2890879421777.927	311956914.8706493	189128766.35636175	501085681.227011
1987-07-14T00:00:00Z	2603526221859.1455	255204997362.86957	2858731219222.015	309343006.66391975	191742674.56309128	501085681.227011
1987-07-15T00:00:00Z	2607533713863.4497	246384083326.80203	2853917797190.252	309829504.34263176	191256176.88437927	501085681.227011
1987-07-16T00:00:00Z	2703937972431.8813	225916422310.95203	2929854394742.8335	319477927.0925499	181607754.1344611	501085681.227011
1987-07-17T00:00:00Z	2817934075088.7666	204607337125.00153	3022541412213.768	330537693.0770308	170547988.14998025	501085681.227011
1987-07-18T00:00:00Z	3107771769334.4785	161545321304.06622	3269317090638.545	360209396.28650975	140876284.94050127	501085681.227011
1987-07-19T00:00:00Z	3282630580791.8325	134462528363.70454	3417093109155.537	378413742.88515157	122671938.34185946	501085681.227011
1987-07-20T00:00:00Z	3193944681430.122	138575747076.37488	3332520428506.497	370062095.58431435	131023585.64269668	501085681.227011
1987-07-21T00:00:00Z	3062378217339.567	147556077757.626	3209934295097.193	356839187.5304614	144246493.69654965	501085681.227011
1987-07-22T00:00:00Z	2803201780469.54	169185544603.42227	2972387325072.9624	330779430.70123416	170306250.52577686	501085681.227011
1987-07-23T00:00:00Z	2730900899993.193	169225618860.86526	2900126518854.058	324952398.5283789	176133282.69863212	501085681.227011
1987-07-24T00:00:00Z	2753042396817.304	160106313711.27383	2913148710528.578	328398539.74904907	172687141.47796196	501085681.227011
1987-07-25T00:00:00Z	2691742865162.9	160214049088.43936	2851956914251.3394	322452929.0799774	178632752.14703363	501085681.227011
1987-07-26T00:00:00Z	2466345904624.247	176589624676.85983	2642935529301.107	298370202.70030403	202715478.526707	501085681.227011
1987-07-27T00:00:00Z	2312687203967.586	184755857219.9574	2497443061187.5435	282539258.6071738	218546422.61983722	501085681.227011
1987-07-28T00:00:00Z	2433887188089.363	166801211736.859	2600688399826.2217	296679955.0497724	204405726.17723864	501085681.227011
1987-07-29T00:00:00Z	2514943721766.0547	153425003858.71	2668368725624.7646	306366921.24553406	194718759.98147696	501085681.227011
1987-07-30T00:00:00Z	2416136006923.117	156384219237.0304	2572520226160.1475	296294095.5233456	204791585.70366544	501085681.227011
1987-07-31T00:00:00Z	2176014013924.054	170294417091.4316	2346308431015.4854	271624156.9576066	229461524.2694044	501085681.227011
1987-08-01T00:00:00Z	2455153464563.407	141115125422.589	2596268589985.996	303363894.8348774	197721786.39213365	501085681.227011
1987-08-02T00:00:00Z	2429456646970.3643	137820152345.87845	2567276799316.2427	301483477.3191689	199602203.9078421	501085681.227011
1987-08-03T00:00:00Z	2315279538106.1616	141708823064.9252	2456988361171.087	289392139.5978024	211693541.62920862	501085681.227011
